model,price,transmission,mileage,fuelType,tax,mpg,engineSize
 5 Series,11200,Automatic,67068,Diesel,125,57.6,2
 5 Series,16000,Automatic,62794,Diesel,160,51.4,3
 1 Series,12750,Automatic,26676,Diesel,145,72.4,1.5
 5 Series,14900,Automatic,35309,Diesel,125,60.1,2
 5 Series,16000,Automatic,38538,Diesel,125,60.1,2
 2 Series,16250,Manual,10401,Petrol,145,52.3,1.5
 4 Series,14250,Manual,42668,Diesel,30,62.8,2
 5 Series,14250,Automatic,36099,Diesel,20,68.9,2
 1 Series,11800,Manual,29840,Diesel,20,68.9,2
 2 Series,10500,Manual,31469,Diesel,20,68.9,2
 3 Series,16500,Manual,16570,Diesel,125,58.9,2
 3 Series,14250,Automatic,55594,Other,135,148.7,2
 3 Series,16000,Automatic,45456,Diesel,30,64.2,2
 1 Series,15500,Automatic,22812,Diesel,20,68.9,1.5
 4 Series,14000,Automatic,47348,Diesel,125,60.1,2
 1 Series,9700,Automatic,75124,Diesel,20,70.6,2
 3 Series,12600,Automatic,78957,Diesel,30,62.8,2
 3 Series,15100,Automatic,29213,Diesel,30,64.2,2
 1 Series,9400,Manual,44498,Diesel,0,83.1,1.5
 1 Series,14300,Automatic,22461,Diesel,20,67.3,2
 1 Series,11200,Manual,23005,Petrol,125,53.3,1.5
 3 Series,17800,Automatic,22310,Diesel,145,64.2,2
 3 Series,14400,Automatic,51994,Diesel,30,62.8,2
 4 Series,16800,Automatic,44011,Diesel,150,65.7,2
 1 Series,20500,Automatic,24029,Petrol,145,39.8,3
 1 Series,11900,Manual,22920,Petrol,145,53.3,1.5
 2 Series,13000,Automatic,61818,Other,0,141.2,1.5
 3 Series,11500,Manual,59634,Diesel,125,61.4,2
 1 Series,13500,Manual,29226,Diesel,30,62.8,2
 1 Series,14600,Automatic,6522,Petrol,145,37.2,1.5
 3 Series,15800,Manual,11231,Petrol,145,47.9,2
 1 Series,11400,Manual,21591,Petrol,125,53.3,1.5
 1 Series,17500,Automatic,14037,Petrol,145,54.3,1.5
 5 Series,23500,Automatic,25034,Diesel,200,47.9,3
 4 Series,15500,Automatic,45856,Diesel,30,65.7,2
 1 Series,9200,Manual,48858,Diesel,0,83.1,1.5
 1 Series,11200,Manual,40399,Diesel,145,68.9,2
